X	Y	Z	Yaw	Pitch	Roll	Thrust	T1	T2	T3	T4	PWM1	PWM2	PWM3	PWM4	Vyaw	Vpitch	Vroll
-0,1511587	0,470381	0,00081932	-131,1583	2,943138	9,552392	0	0,4272254	0	0	0	0	0	0	0			
-0,1520946	0,471381	-0,00053241	-131,6955	3,131721	9,263527	0	0,4781222	0	0	0	0	0	0	0	-26,9	6,147	-21,77651515
-0,1532715	0,4727863	-0,002082817	-132,046	3,145989	8,833767	0	0,5071782	0	0	0	0	0	0	0	-15,28787879	4,416424242	-24,83318182
-0,1546133	0,4740278	-0,003838534	-132,2	3,277463	8,444032	0	0,4971469	0	0	0	0	0	0	0	-5,2	6,339636364	-25,05075758
-0,1562183	0,4754056	-0,005484934	-132,2176	3,355197	8,007092	0	0,461608	0	0	0	0	0	0	0	4,909090909	4,725060606	-23,90030303
-0,1582736	0,4769225	-0,007059342	-132,038	3,43339	7,655322	0	0,3947508	0	0	0	0	0	0	0	12,67272727	5,635636364	-24,21909091
-0,1607381	0,4785539	-0,00859275	-131,7994	3,541173	7,207862	0	0,3060767	0	0	0	0	0	0	0	13,98787879	7,242757576	-29,77827273
-0,1632124	0,4802339	-0,0101517	-131,5764	3,672401	6,672639	0	0,2131893	0	0	0	0	0	0	0	15,89090909	5,029181818	-35,90827273
-0,1660052	0,4821572	-0,01174685	-131,275	3,707136	6,022889	0	0,1452445	0	0	0	0	0	0	0	15,63030303	7,095030303	-32,39406061
-0,1689254	0,4841083	-0,01291499	-131,0606	3,906537	5,603635	0	0,0527178	0	0	0	0	0	0	0	11,00909091	12,77636364	-24,56660606
-0,1718252	0,4858552	-0,01397631	-130,9117	4,128756	5,212191	0	0	0	0,02959345	0	0	0	0	0	6,048484848	14,22175758	-21,9039697
-0,174813	0,4873596	-0,01474014	-130,861	4,375855	4,880804	0	0	0	0,1001438	0	0	0	0	0	1,760606061	15,1529697	-15,90606061
-0,1775289	0,488422	-0,01537624	-130,8536	4,628804	4,687291	0	0	0	0,1430893	0	0	0	0	0	-6,296969697	20,37075758	-10,4790303
-0,1803661	0,4889454	-0,0159143	-131,0688	5,04809	4,534996	0	0	0	0,135745	0	0	0	0	0	-16,07878788	29,51915152	-7,306545455
-0,1831096	0,4890195	-0,01608453	-131,3842	5,602936	4,446175	0	0	0	0,1000102	0	0	0	0	0	-22,53030303	28,21733333	-9,105878788
-0,1853957	0,4886316	-0,01601007	-131,8123	5,979262	4,234502	0	0	0	0,02709223	0	0	0	0	0	-28,18181818	17,48166667	-14,15127273
-0,1872244	0,4881617	-0,01556277	-132,3142	6,179831	3,979183	0	0,06176868	0	0	0	0	0	0	0	-28,56363636	-1,860121212	-20,17893939
-0,188297	0,4875519	-0,01472791	-132,7549	5,917878	3,568597	0	0,1414267	0	0	0	0	0	0	0	-24,71818182	-26,8560303	-23,98869697
-0,1890751	0,4866264	-0,01351602	-133,1299	5,293582	3,187556	0	0,2225826	0	0	0	0	0	0	0	-15,06363636	-47,07172727	-14,55533333
-0,1890163	0,4851657	-0,01247227	-133,252	4,364511	3,088271	0	0,2629701	0	0	0	0	0	0	0	-13,08787879	-43,78121212	-12,04166667
-0,1895625	0,4835627	-0,01029827	-133,5618	3,848802	2,790181	0	0,3180115	0	0	0	0	0	0	0	-9,954545455	-26,42760606	-12,26654545
-0,1898499	0,481427	-0,008345962	-133,5805	3,4924	2,683475	0	0,3263336	0	0	0	0	0	0	0	4,133333333	-15,93257576	-2,111818182
-0,1901177	0,4790715	-0,006303266	-133,4254	3,323027	2,720491	0	0,3086145	0	0	0	0	0	0	0	13,57878788	-2,849090909	0,596090909
-0,1902577	0,4764419	-0,004192898	-133,1324	3,39838	2,703146	0	0,2476387	0	0	0	0	0	0	0	22,90909091	5,894212121	2,857484848
-0,1901358	0,4737973	-0,001961606	-132,6694	3,517536	2,814788	0	0,1542294	0	0	0	0	0	0	0	32,19090909	7,136454545	5,096454545
-0,1900441	0,47136	0,000462837	-132,0701	3,633883	2,871329	0	0,03093377	0	0	0	0	0	0	0	38,91818182	-0,145090909	3,039969697
-0,1897398	0,469161	0,00286268	-131,3851	3,512748	2,915107	0	0	0	0,1114854	0	0	0	0	0	41,53636364	-5,309333333	-2,062121212
-0,1892064	0,467411	0,005398384	-130,6994	3,458675	2,803279	0	0	0	0,2466646	0	0	0	0	0	39,63636364	-1,465636364	-7,865272727
-0,1881072	0,4656552	0,008108906	-130,0771	3,464382	2,655553	0	0	0	0,3663329	0	0	0	0	0	36,23939394	3,266090909	-12,85036364
-0,1865956	0,4642381	0,01105353	-129,5035	3,566456	2,379217	0	0	0	0,4498142	0	0	0	0	0	25,06969697	4,823909091	-14,05466667
-0,1857361	0,4636001	0,01261631	-129,2498	3,623571	2,191749	0	0	0	0,5174386	0	0	0	0	0	21,44242424	5,822393939	-18,29269697
-0,1835559	0,4625119	0,0158323	-128,7959	3,758595	1,775558	0	0	0	0,5741499	0	0	0	0	0	24,1	1,419909091	-27,87054545
-0,1811249	0,4617902	0,019232	-128,4545	3,670428	1,272021	0	0	0	0,5965015	0	0	0	0	0	15,45151515	-9,185575758	-32,13567879
-0,1783902	0,4612759	0,02297574	-128,286	3,455471	0,7150806	0	0	0	0,5815675	0	0	0	0	0	5,278787879	-14,35827273	-37,77014515
-0,1755588	0,4610187	0,0269517	-128,2803	3,196605	0,02560621	0	0	0	0,5266927	0	0	0	0	0	-6,184848485	-15,21393939	-44,54504242
-0,1724484	0,4612252	0,03106411	-128,4901	2,953411	-0,7549058	0	0	0	0,4295939	0	0	0	0	0	-19,7969697	-14,78321212	-50,29488515
-0,1689182	0,4615327	0,03530951	-128,9336	2,708759	-1,634125	0	0	0	0,2941822	0	0	0	0	0	-19,66666667	-22,8390303	-50,26021818
-0,1649405	0,4619739	0,03878614	-129,1391	2,199723	-2,413493	0	0	0	0,1872396	0	0	0	0	0	-29,58181818	-25,28827273	-47,27439394
-0,1610672	0,4626404	0,04315124	-129,9098	1,874246	-3,19418	0	0	0	0,02007747	0	0	0	0	0	-43,75757576	-23,04657576	-41,58975758
