X	Y	Z	Yaw	Pitch	Roll	VYaw	VPitch	VRoll	Thrust	T1	T2	T3	T4	PWM1	PWM2	PWM3	PWM4
-0,2554849	0,379295	0,2829598	39,34886	13,56938	2,865174	5,229482	-2,20474	2,728783	0	0	0	0,005240425	0,04933523	0	0	0	0
-0,2560303	0,3793726	0,2827357	39,19247	13,54237	2,500563	3,962692	-1,890841	-0,5202889	0	0,0241113	0	0	0,01370552	0	0	0	0
-0,2565947	0,3794004	0,2826802	38,89793	13,70351	2,192191	1,801342	-0,9938946	-3,436896	0	0,0443079	0,02443001	0	0	0	0	0	0
-0,2570638	0,3794099	0,282665	38,63846	13,95839	2,033343	-0,5088492	0,3191922	-5,854769	0	0,05535576	0,06173961	0	0	0	0	0	0
-0,2579542	0,3795796	0,2827072	38,3141	14,14435	1,854717	-3,309991	0,7509998	-9,32768	0	0,08576679	0,1007868	0	0	0	0	0	0
-0,2587019	0,3797406	0,2826438	38,09134	14,28951	1,767929	-4,89163	1,204608	-10,81129	0	0,09606682	0,120159	0	0	0	0	0	0
-0,2593628	0,3799445	0,282382	37,96627	14,34952	1,72558	-6,383433	1,010368	-12,15423	0	0,1114386	0,131646	0	0	0	0	0	0
-0,2600814	0,3802864	0,2820531	37,99406	14,29618	1,690055	-6,859369	1,43357	-13,67342	0	0,1223985	0,1510699	0	0	0	0	0	0
-0,2608307	0,380734	0,2816131	38,12952	14,22802	1,790124	-7,343682	1,441255	-11,0959	0	0,09654649	0,1253716	0	0	0	0	0	0
-0,2614411	0,3812455	0,2811625	38,35499	14,19492	1,945135	-6,193256	2,76186	-7,951181	0	0,0518932	0,1071304	0	0	0	0	0	0
-0,2619238	0,3819242	0,2807372	38,61032	13,98833	2,170036	-4,431235	2,513667	-4,170818	0	0,01657151	0,06684485	0	0	0	0	0	0
-0,2623823	0,3826509	0,2805505	38,8312	13,80199	2,333427	-2,167667	1,557721	-1,002818	0	0	0,02560539	0,005549028	0	0	0	0	0
-0,2627589	0,3834643	0,2805734	39,0417	13,65263	2,498216	0,862631	-0,305282	1,836142	0	0	0	0,0153086	0,02141424	0	0	0	0
-0,2632561	0,3843214	0,2807273	39,19427	13,49156	2,660787	3,334847	-2,800999	3,764657	0	0	0	0,009636577	0,06565656	0	0	0	0
-0,2636311	0,3849614	0,280865	39,23073	13,34833	2,855006	5,499768	-4,776096	6,001721	0	0	0	0,01225625	0,1077782	0	0	0	0
-0,2640623	0,3854823	0,2810456	39,21153	13,26198	3,00841	6,721148	-6,165132	7,44287	0	0	0	0,01277738	0,13608	0	0	0	0
-0,2645337	0,385893	0,2812541	39,15243	13,23271	3,088742	7,116952	-6,700829	8,17896	0	0	0	0,01478131	0,1487979	0	0	0	0
-0,2651201	0,3863339	0,281522	39,08952	13,17703	3,105663	6,572718	-6,714899	8,493636	0	0	0	0,01778737	0,1520853	0	0	0	0
-0,2656762	0,3866211	0,281762	39,04528	13,15075	3,084298	5,494549	-6,463605	7,765028	0	0	0	0,01301423	0,1422863	0	0	0	0
-0,2663257	0,3868376	0,2819826	39,00528	13,06357	3,073057	3,901741	-6,788113	6,767519	0	0,000205934	0	0	0,1355563	0	0	0	0
-0,2673149	0,3869911	0,2823703	38,94361	12,86888	2,998715	1,999737	-6,716702	4,972065	0	0,01744637	0	0	0,1168877	0	0	0	0
-0,268191	0,3869016	0,282793	38,87429	12,76465	2,980865	0,2585902	-6,224074	3,884624	0	0,02339451	0	0	0,101087	0	0	0	0
-0,2686564	0,386726	0,2833143	38,73944	12,62415	3,174657	-1,813565	-6,170848	4,058639	0	0,02112209	0	0	0,1022949	0	0	0	0
-0,2690485	0,3864303	0,283634	38,68798	12,63515	3,225265	-3,037737	-5,138467	3,386864	0	0,01751604	0	0	0,08525331	0	0	0	0
-0,2696735	0,3858593	0,284223	38,56575	12,68366	3,266841	-3,989883	-3,988001	2,471006	0	0,01516994	0	0	0,06459007	0	0	0	0
-0,2702698	0,3850193	0,2849069	38,45248	12,7726	3,342088	-4,554305	-2,936296	2,002061	0	0,00934235	0	0	0,04938358	0	0	0	0
-0,2707199	0,3839991	0,2856365	38,3633	12,89202	3,390261	-4,734755	-2,04414	1,809108	0	0,002350312	0	0	0,03853248	0	0	0	0
-0,2711155	0,3830149	0,2862202	38,26346	13,08325	3,336993	-4,956335	-0,5626362	1,387974	0	0	0	0,008253377	0,0195061	0	0	0	0
-0,2715273	0,3819304	0,2869631	38,17465	13,19421	3,211156	-5,223805	0,2607989	0,7611479	0	0	0	0,01021947	0,00500349	0	0	0	0
-0,2718824	0,3809051	0,2876592	38,04937	13,25615	3,1171	-5,735493	1,155473	0,264255	0	0	0,008912185	0,01419728	0	0	0	0	0
-0,2720931	0,3796116	0,2882794	37,91325	13,40987	3,092677	-6,182155	3,24595	0,5637678	0	0	0,02682182	0,03809718	0	0	0	0	0
-0,2723456	0,3782567	0,2888994	37,77808	13,5694	3,127288	-6,577273	4,828499	0,8785369	0	0	0,03949962	0,05707036	0	0	0	0	0
-0,2725706	0,3768903	0,2894582	37,65712	13,73294	3,261886	-6,493891	6,65273	0,5233744	0	0	0,06129355	0,07176103	0	0	0	0	0
-0,2726639	0,3754289	0,2900202	37,57369	13,90915	3,545851	-6,68574	7,643992	1,923509	0	0	0,05720483	0,09567501	0	0	0	0	0
-0,2726198	0,3742548	0,290512	37,57169	14,16469	3,837627	-5,964351	8,886166	3,424712	0	0	0,05461453	0,1231088	0	0	0	0	0
-0,2727334	0,3730906	0,2908883	37,61503	14,3655	3,994751	-5,024702	9,557411	3,915973	0	0	0,05641438	0,1347338	0	0	0	0	0
-0,2725591	0,371941	0,2909733	37,73721	14,47055	4,261805	-3,756539	9,471147	5,229255	0	0	0,04241892	0,147004	0	0	0	0	0
-0,2724763	0,3710885	0,2911029	37,90375	14,48403	4,44574	-2,15826	8,404656	6,652472	0	0	0,01752184	0,1505713	0	0	0	0	0
-0,2721513	0,3701065	0,2911758	38,09488	14,41804	4,656491	-0,4786137	7,342933	8,671989	0	0	0	0,1601492	0,01329057	0	0	0	0
-0,2717994	0,369207	0,2913573	38,27868	14,42093	4,813856	1,375875	6,988698	10,18052	0	0	0	0,1716922	0,0319182	0	0	0	0
-0,2713329	0,3682128	0,2915281	38,44727	14,37995	5,048138	3,204111	5,820488	11,73274	0	0	0	0,1755323	0,05912254	0	0	0	0
-0,2709064	0,367173	0,2920201	38,61972	14,40564	5,274653	5,04981	5,017423	12,88417	0	0	0	0,1790159	0,07866742	0	0	0	0
-0,2705994	0,3664183	0,2922841	38,69886	14,44342	5,488278	6,25043	4,26283	13,35833	0	0	0	0,1762116	0,09095498	0	0	0	0
-0,2698467	0,3641532	0,2932019	38,87841	14,27969	6,075731	7,828339	2,223234	15,17925	0	0	0	0,1740248	0,1295602	0	0	0	0
-0,2694344	0,3625351	0,2942375	38,99075	14,25736	6,553751	8,514319	0,5559643	16,29671	0	0	0	0,1685267	0,1574074	0	0	0	0
-0,2689256	0,3606967	0,2951741	39,07095	14,2809	7,101971	8,735533	-0,5076303	18,64328	0	0	0	0,1813565	0,1915091	0	0	0	0
-0,2683768	0,3590455	0,2962171	39,09157	14,39851	7,592792	8,126136	-0,4321853	19,98588	0	0	0	0,195537	0,2041807	0	0	0	0
-0,26794	0,3573197	0,2970794	39,07834	14,40296	8,064338	7,047533	-0,4864016	21,71154	0	0	0	0,2122514	0,2219794	0	0	0	0
-0,2677478	0,3557106	0,2980534	39,07915	14,34933	8,469733	5,905598	-0,4122383	22,87941	0	0	0	0,2246717	0,2329165	0	0	0	0
-0,2675407	0,3543459	0,298907	39,10018	14,21424	8,794476	4,928984	-1,240177	23,88367	0	0	0	0,2264349	0,2512385	0	0	0	0
-0,2673143	0,3531095	0,299694	39,09808	14,14409	9,092935	3,904854	-1,415156	24,26873	0	0	0	0,2285358	0,2568389	0	0	0	0
-0,2671003	0,3521476	0,3006152	39,09632	14,15652	9,284439	2,859621	-1,494727	24,05867	0	0	0	0,2256394	0,2555339	0	0	0	0
-0,2670619	0,3512665	0,301514	39,0015	14,21742	9,398052	1,81583	-1,355979	23,4586	0	0	0	0,2210262	0,2481458	0	0	0	0
-0,2670746	0,3506637	0,3024683	38,77593	14,19254	9,417932	-0,6149127	-0,5228738	20,05317	0	0	0	0,1953029	0,2057604	0	0	0	0
-0,2672871	0,3501647	0,3035436	38,39683	14,15782	9,328562	-3,563477	-0,5972087	16,64884	0	0	0	0,1605163	0,1724605	0	0	0	0
-0,2673632	0,3497188	0,3047786	37,94541	14,17966	9,193143	-6,75326	-0,6074283	12,54701	0	0	0	0,1193958	0,1315444	0	0	0	0
-0,267177	0,349293	0,3059632	37,50317	14,34202	8,987001	-9,53037	-0,3389447	8,36524	0	0	0	0,08026295	0,08704185	0	0	0	0
-0,2671537	0,3490224	0,3073705	37,13663	14,59764	8,742012	-11,65022	1,168039	4,066038	0	0	0	0,05234076	0,02897998	0	0	0	0
-0,2668062	0,3489044	0,3088333	36,76269	14,93314	8,481202	-13,89871	3,502812	0,06881318	0	0	0,03433999	0,03571625	0	0	0	0	0
-0,2664168	0,3488173	0,3099937	36,44992	15,21842	8,313073	-15,90151	6,025102	-2,888409	0	0	0,08913511	0,03136693	0	0	0	0	0
-0,2661707	0,3490911	0,3111159	36,16425	15,40463	8,214598	-17,60297	7,563208	-5,270011	0	0	0,1283322	0,02293197	0	0	0	0	0
-0,2659873	0,3498358	0,3121497	35,98953	15,52313	8,151224	-18,6407	8,199687	-6,799276	0	0	0,1499896	0,0140041	0	0	0	0	0
-0,2657862	0,350931	0,3127249	35,88673	15,47091	8,117846	-18,68858	7,520916	-7,68122	0	0,00160303	0,1520213	0	0	0	0	0	0
-0,26569	0,3522738	0,3130126	35,91267	15,26797	8,191133	-17,17952	6,452544	-7,360774	0	0,009082302	0,1381332	0	0	0	0	0	0
-0,2656125	0,3536928	0,31315	36,0185	14,92537	8,353492	-14,26998	4,605271	-5,850409	0	0,01245138	0,1045568	0	0	0	0	0	0
-0,2654633	0,355326	0,3130909	36,19605	14,61243	8,466879	-10,49611	2,596613	-4,357575	0	0,01760962	0,06954189	0	0	0	0	0	0
-0,2653463	0,3561009	0,3129274	36,2527	14,46349	8,559759	-7,502823	0,7288154	-2,563449	0	0,01834633	0,03292264	0	0	0	0	0	0
-0,2650773	0,3576318	0,3125187	36,36211	14,20001	8,661934	-4,647116	-2,38574	-0,4804678	0	0,02866208	0	0	0,01905272	0	0	0	0
-0,2645754	0,3592755	0,3118736	36,38128	13,90085	8,725018	-2,288493	-6,193674	1,46289	0	0,04730784	0	0	0,07656563	0	0	0	0
-0,2637296	0,360664	0,3109984	36,36459	13,68782	8,933316	-0,5119848	-9,183631	3,721451	0	0,0546218	0	0	0,1290508	0	0	0	0
