X	Y	Z	Yaw	Pitch	Roll	Thrust	T1	T2	T3	T4	PWM1	PWM2	PWM3	PWM4
-0,02349266	0,5832671	-0,1898328	49,44957	1,03297	-1,326161	0	0,02078511	0,02359131	0	0	0	0	0	0
-0,02373477	0,5833054	-0,1899804	49,46833	0,9895856	-1,288356	0	0,01944611	0,02277941	0	0	0	0	0	0
-0,02390074	0,5832593	-0,1901459	49,49361	0,9398623	-1,22538	0	0,01568535	0,02165242	0	0	0	0	0	0
-0,024081	0,5831271	-0,1902602	49,54708	0,9323004	-1,146719	0	0,003488176	0,02079019	0	0	0	0	0	0
-0,02400381	0,5829772	-0,1902819	49,55106	0,9334107	-1,062486	0	0	0,01995897	0,003755621	0	0	0	0	0
-0,02395334	0,5828165	-0,1902537	49,59621	0,9635566	-1,015341	0	0	0,01978897	0,01464235	0	0	0	0	0
-0,02392365	0,5827384	-0,1902117	49,61117	0,9834582	-1,004857	0	0	0,01988315	0,01948263	0	0	0	0	0
-0,02381406	0,5826056	-0,1901422	49,65729	1,063655	-0,9944673	0	0	0,02058122	0,02800978	0	0	0	0	0
-0,02374167	0,5825748	-0,1901056	49,66249	1,081475	-1,001285	0	0	0,02082761	0,02902206	0	0	0	0	0
-0,02362557	0,5825216	-0,1900881	49,64584	1,082219	-1,031529	0	0	0,02113749	0,02546413	0	0	0	0	0
-0,02343839	0,5825327	-0,1900243	49,57823	1,062019	-1,098479	0	0	0,02160498	0,01507437	0	0	0	0	0
-0,02341703	0,5825863	-0,1900176	49,50972	1,087874	-1,189854	0	0	0,02277728	0,003946918	0	0	0	0	0
-0,02347058	0,5827329	-0,1899926	49,42708	1,131627	-1,306265	0	0,009730212	0,02437892	0	0	0	0	0	0
-0,02356667	0,5828987	-0,1899716	49,35481	1,162681	-1,410144	0	0,02554725	0,02572825	0	0	0	0	0	0
-0,02370538	0,5830764	-0,1900151	49,2758	1,182599	-1,488872	0	0,03609398	0,02671471	0	0	0	0	0	0
-0,02394198	0,5832835	-0,190106	49,19603	1,175839	-1,564423	0	0,0519079	0,02740262	0	0	0	0	0	0
-0,02423379	0,5834278	-0,1902056	49,15057	1,133117	-1,588563	0	0,05982656	0,0272168	0	0	0	0	0	0
-0,02450687	0,5835556	-0,1902884	49,11973	1,048829	-1,54492	0	0,06946793	0,02593749	0	0	0	0	0	0
-0,02475008	0,5836385	-0,1903649	49,11634	0,9566458	-1,453992	0	0,07051227	0,02410638	0	0	0	0	0	0
-0,0249274	0,5836419	-0,1904037	49,15132	0,8914348	-1,333148	0	0,06375921	0,02224583	0	0	0	0	0	0
-0,02508282	0,5836237	-0,1904047	49,23135	0,8975502	-1,218239	0	0,04483217	0,02115789	0	0	0	0	0	0
